GeneID	Length	Control-1	Control-2	Control-3	Cys247X.AS-1	Cys247X.AS-2	Cys247X.AS-3	Cys247X-1	Cys247X-2	Cys247X-3
ENSG00000236423	4084	27	23	21	7	19	26	4	35	25
ENSG00000233304	5054	0	0	0	0	1	0	0	0	0
ENSG00000226374	2168	0	0	0	0	0	0	0	0	0
ENSG00000284668	1835	0	0	0	0	0	0	0	0	0
ENSG00000284703	4817	0	0	0	0	0	0	0	0	0
ENSG00000229280	372	0	0	1	0	1	0	0	0	0
ENSG00000235054	2574	0	0	0	1	0	2	0	0	1
ENSG00000284694	3402	0	0	0	0	0	0	0	0	0
ENSG00000227169	356	0	0	0	0	0	0	0	0	0
ENSG00000232596	3328	0	0	0	0	0	0	0	0	0
ENSG00000196581	12528	89	14	84	151	36	73	1	45	53
ENSG00000287586	3225	1	0	0	0	1	2	0	0	0
ENSG00000284739	464	0	0	0	0	0	0	0	0	0
ENSG00000284674	1580	0	0	0	0	0	0	0	0	0
ENSG00000231510	449	0	0	0	0	0	0	0	0	0
ENSG00000284616	1225	0	0	0	1	0	0	0	0	0
ENSG00000284692	2316	0	0	0	0	0	0	0	0	0
ENSG00000284666	609	0	0	0	0	0	0	0	0	0
ENSG00000260972	1697	0	0	0	0	0	0	0	0	0
ENSG00000283356	135	0	0	0	0	0	0	0	0	0
ENSG00000236948	1095	0	0	1	0	0	0	0	0	0
ENSG00000264341	73	0	0	0	0	0	0	0	0	0
ENSG00000264101	70	0	0	0	0	0	0	0	0	0
ENSG00000131697	13167	2437	935	1060	905	900	1368	778	1136	1383
ENSG00000069424	17329	5727	802	2412	1836	1195	2196	1047	1567	2086
ENSG00000116254	10094	218	82	134	137	113	95	84	106	89
ENSG00000285629	663	0	0	0	0	0	0	0	0	0
ENSG00000116251	4665	47299	13747	17624	11228	12449	17784	17463	14863	16169
ENSG00000226944	378	55	20	20	7	9	30	9	21	17
ENSG00000158286	6595	648	330	353	91	206	341	154	285	236
ENSG00000116237	4910	15825	5076	6063	5461	4796	6105	5394	6365	7654
ENSG00000225077	2358	3	0	2	6	3	2	3	3	1
ENSG00000173673	710	0	0	0	0	0	0	0	0	0
ENSG00000158292	4198	1560	590	882	615	642	996	1047	392	650
ENSG00000097021	4124	2807	1002	1218	1228	733	1027	993	1358	1411
ENSG00000271746	837	32	11	2	8	6	10	17	16	2
ENSG00000069812	5407	6	1	5	1	2	1	2	8	5
ENSG00000187017	6952	201	94	46	27	18	133	8	37	18
ENSG00000265392	63	0	0	0	0	0	0	0	0	0
ENSG00000231868	351	0	0	0	0	0	0	0	0	0
ENSG00000215788	4283	1128	661	744	202	328	686	463	483	709
ENSG00000171680	7053	5806	2416	2821	1458	2229	2061	1978	1745	2353
ENSG00000162408	7271	2128	941	1118	559	678	812	947	1120	1254
ENSG00000253022	111	0	0	0	0	0	0	0	0	0
ENSG00000229519	401	0	1	0	0	0	0	0	0	0
ENSG00000173662	2764	7	2	6	1	1	4	3	1	4
ENSG00000204859	4510	1749	802	813	591	558	1225	520	749	1051
ENSG00000162413	6901	12203	3562	4517	3998	4023	6923	3012	5399	4655
ENSG00000116273	3632	4430	1601	1467	1832	1186	1958	1812	1490	1936
ENSG00000041988	4072	2092	691	808	704	627	1291	707	761	799
ENSG00000007923	5083	8747	3064	3894	2719	2419	2904	3172	3895	4245
ENSG00000228750	2188	0	1	0	0	0	0	0	0	0
ENSG00000284744	987	0	0	0	0	0	0	0	0	0
ENSG00000237436	415	40	9	13	17	12	21	15	7	11
ENSG00000171735	9903	2502	683	1026	1023	993	1255	878	958	1198
ENSG00000227950	286	0	0	0	0	0	0	0	0	0
ENSG00000237365	349	0	0	0	1	0	0	1	0	0
ENSG00000207056	165	0	0	0	0	0	0	0	0	0
ENSG00000237402	365	1	0	0	0	1	0	0	0	0
ENSG00000237728	744	0	0	0	0	0	0	0	0	0
ENSG00000225126	361	0	0	0	0	0	0	0	0	0
ENSG00000270171	1721	3	4	7	9	4	8	0	11	9
ENSG00000270035	570	5	4	6	1	2	11	0	9	6
ENSG00000269978	267	5	2	12	5	5	9	2	4	6
ENSG00000049245	2733	19719	5322	7412	5507	5345	6312	7231	8702	9233
ENSG00000269925	393	49	13	26	14	14	25	10	26	58
ENSG00000049246	8099	15345	4638	5642	3927	4199	4750	3437	6601	5573
ENSG00000236266	830	0	0	0	1	0	0	0	0	0
ENSG00000049247	1791	0	0	2	0	5	0	0	0	0
ENSG00000049249	6331	6	0	3	1	8	1	3	2	2
ENSG00000270330	355	0	0	0	0	0	1	0	0	0
ENSG00000116288	2397	18508	5696	6966	5894	5203	9656	5879	6502	7042
ENSG00000200344	103	0	0	0	0	0	0	0	0	0
ENSG00000284747	4116	4	18	7	0	4	13	7	15	22
ENSG00000284716	1043	0	0	0	0	0	0	0	0	0
ENSG00000116285	4179	5579	2142	2804	2004	1789	2334	1750	2215	2241
ENSG00000238290	2044	1	2	3	2	0	1	2	1	1
ENSG00000232848	800	0	0	1	1	0	0	0	0	0
ENSG00000229305	1075	0	0	0	0	0	0	0	0	0
ENSG00000227634	1001	1	0	0	1	1	2	1	0	2
ENSG00000200975	164	0	0	0	0	0	0	0	0	0
ENSG00000233645	477	0	0	0	0	0	0	0	0	0
ENSG00000251977	107	0	0	0	0	0	0	0	0	0
ENSG00000162426	2888	552	206	256	147	170	295	180	186	171
ENSG00000252254	113	0	0	1	0	0	0	0	0	0
ENSG00000142599	14112	25081	8950	10586	8318	6040	7846	12331	9198	12726
ENSG00000232912	1178	13	2	5	2	0	3	0	5	5
ENSG00000221083	125	0	0	0	0	0	0	0	0	0
ENSG00000270282	369	0	0	0	0	0	0	0	0	0
ENSG00000234619	658	2	1	1	0	0	0	0	0	3
ENSG00000224315	703	2	2	0	3	0	0	2	1	0
ENSG00000222511	103	0	1	1	0	0	0	0	0	0
ENSG00000226545	415	0	0	0	0	0	0	0	0	0
ENSG00000228423	353	0	0	1	0	1	0	1	1	1
ENSG00000229716	369	0	0	0	0	0	0	0	0	0
ENSG00000074800	5216	115961	37073	38839	40476	44473	44904	46524	43498	52257
ENSG00000274258	89	0	0	0	0	0	0	0	0	0
ENSG00000230679	456	56	19	23	25	27	19	14	15	14
ENSG00000201725	107	0	0	0	0	0	0	0	0	0
ENSG00000238249	743	3	2	5	0	1	2	2	1	1
ENSG00000232208	352	0	0	0	0	0	0	0	0	0
ENSG00000232663	163	0	0	0	0	0	0	0	0	0
ENSG00000131686	2662	1	2	0	0	2	0	0	0	0
ENSG00000265141	299	0	0	0	0	0	0	0	0	0
ENSG00000197241	1539	0	0	3	0	0	0	0	0	0
ENSG00000142583	6632	137	15	25	37	43	27	13	18	54
ENSG00000252404	184	0	0	0	0	0	0	0	0	0
ENSG00000180758	5304	591	192	295	226	92	260	238	159	169
ENSG00000228526	8702	325	174	168	80	87	111	332	142	574
ENSG00000284357	110	0	0	0	0	0	0	0	0	0
ENSG00000234546	2141	133	51	34	57	70	45	91	36	99
ENSG00000049239	9321	17996	5295	7014	4947	4889	5246	6235	5820	6164
ENSG00000171621	3389	4681	1321	1388	2579	1627	1733	2400	1685	2009
ENSG00000284652	1765	34	7	17	17	23	24	16	19	9
ENSG00000284693	2623	228	57	85	103	135	107	73	82	72
ENSG00000252956	110	0	0	0	0	0	0	0	0	0
ENSG00000235263	708	0	0	0	0	0	0	1	0	0
ENSG00000171612	3865	1492	613	733	422	503	712	687	762	723
ENSG00000231181	559	22	9	18	4	9	10	13	13	23
ENSG00000188807	6981	5328	1761	2297	2012	1791	2515	2223	2427	2503
ENSG00000171608	6333	2118	742	927	726	640	620	1046	1163	1032
ENSG00000179840	1823	0	0	0	0	1	0	0	0	0
ENSG00000233268	421	0	0	0	0	0	0	0	0	0
ENSG00000231789	939	513	138	164	118	160	142	147	164	122
ENSG00000171603	5683	50652	15843	19032	17307	19452	25817	28186	24700	27413
ENSG00000271264	246	0	0	0	0	0	0	0	0	0
ENSG00000280113	1983	2	0	1	0	0	2	0	0	0
ENSG00000178585	3339	4633	1274	1629	2053	1573	1877	2011	1797	1602
ENSG00000223989	424	0	0	0	0	0	0	2	0	0
ENSG00000285701	762	0	0	0	0	0	0	0	0	0
ENSG00000162441	5459	7857	2651	3483	2474	2622	3073	3377	3189	3848
ENSG00000228150	440	6	3	2	4	3	2	3	0	2
ENSG00000173614	4610	1655	676	719	599	615	906	459	621	993
ENSG00000202415	319	5	0	0	0	0	2	0	1	3
ENSG00000283611	444	2	1	1	2	3	0	6	2	1
ENSG00000265521	78	1	0	0	0	0	0	0	0	0
ENSG00000241326	436	0	0	0	0	0	0	0	0	0
ENSG00000162444	862	977	325	471	505	363	476	910	826	439
ENSG00000130939	9237	11785	5107	5214	3678	3230	4214	4588	4653	7933
ENSG00000224340	337	0	0	0	0	0	0	0	0	0
ENSG00000233623	680	3	0	0	0	1	0	0	0	0
ENSG00000201746	107	0	1	4	0	3	1	0	3	0
ENSG00000054523	17720	27555	10845	13310	9817	8451	7761	10786	11318	14650
ENSG00000264881	86	0	1	0	0	0	0	0	0	2
ENSG00000199562	107	1	3	1	0	0	0	0	0	0
ENSG00000264501	293	0	0	0	0	0	0	0	0	0
ENSG00000284735	2381	0	1	1	1	0	0	0	0	0
ENSG00000284642	1477	198	79	66	78	70	133	54	59	80
ENSG00000142657	3333	49860	16157	19048	14584	12010	18772	13243	16366	18150
ENSG00000271989	797	8	2	2	0	1	1	10	0	2
ENSG00000251503	2244	38	17	13	18	9	29	11	20	9
ENSG00000175279	1748	224	66	83	52	75	102	62	91	98
ENSG00000241563	1130	16	6	7	8	4	12	1	14	2
ENSG00000160049	6625	7782	2664	3321	2938	2434	3076	2578	2780	3972
ENSG00000203469	467	1	0	0	1	0	0	0	0	0
ENSG00000142655	2932	2599	762	1031	997	987	1343	877	1025	1151
ENSG00000287727	2876	0	0	0	0	0	0	0	0	0
ENSG00000243267	280	1	1	5	0	3	0	0	5	0
ENSG00000130940	11336	448	163	203	116	240	315	71	240	233
ENSG00000272078	7923	5	3	2	1	2	6	2	1	1
ENSG00000225158	238	0	0	0	0	0	0	0	0	0
ENSG00000175262	3573	0	1	7	1	0	2	0	3	3
ENSG00000215785	494	3	0	1	1	2	0	1	2	0
ENSG00000120948	6071	13528	5059	5945	3398	4037	5782	5524	7976	7606
ENSG00000277726	2205	28	12	9	10	19	13	8	13	15
ENSG00000009724	4257	0	2	5	0	1	2	0	3	2
ENSG00000271895	870	516	226	252	96	160	305	263	261	303
ENSG00000116649	1894	6388	1901	2319	1878	1639	2697	2178	2737	2531
ENSG00000171824	5991	7940	3184	3627	2417	2386	3503	3238	4448	4880
ENSG00000226849	2682	29	22	26	3	10	17	17	33	35
ENSG00000230337	536	9	1	0	2	0	6	2	2	7
ENSG00000198793	12163	15310	6859	7044	5260	4730	5370	5218	6171	8852
ENSG00000225602	763	0	1	0	0	1	0	0	0	0
ENSG00000253086	103	0	0	0	0	0	0	0	0	0
ENSG00000171819	2224	187	101	117	92	137	117	260	195	306
ENSG00000207451	107	0	0	0	0	0	0	0	0	0
ENSG00000238173	150	0	0	0	0	0	0	0	0	1
ENSG00000120942	5082	4136	1299	1841	1447	1673	1576	1688	1896	1719
ENSG00000238199	437	0	1	0	0	0	0	0	1	0
ENSG00000284646	742	3	3	2	1	1	1	4	2	4
ENSG00000224338	565	0	0	0	0	0	0	0	0	0
ENSG00000204624	6120	168	84	205	134	79	122	19	137	120
ENSG00000285833	1051	0	0	2	0	0	0	0	0	0
ENSG00000235643	1351	1	0	0	0	0	0	0	0	0
ENSG00000284708	2094	0	0	0	1	0	0	0	0	0
ENSG00000116661	3163	1831	421	448	861	621	541	343	659	528
ENSG00000132879	3527	4840	1914	2088	1313	1763	2943	1604	2109	2599
ENSG00000116663	1735	2191	641	702	493	390	726	475	822	591
ENSG00000116670	3324	3293	892	1174	1188	879	1345	879	920	1075
ENSG00000162490	7365	163	31	222	381	66	74	10	100	122
ENSG00000177674	2435	3143	949	1156	1052	1132	1679	902	1284	1554
ENSG00000215910	6499	52	22	37	33	67	19	75	26	55
ENSG00000177553	1868	0	0	0	0	0	0	0	0	0
ENSG00000177000	11978	11307	3572	4451	4508	3886	5182	3459	5751	4842
ENSG00000011021	8173	6143	2752	2845	1825	1521	2385	2391	3108	4087
ENSG00000276470	173	0	0	0	0	0	0	0	0	0
ENSG00000278852	149	0	0	0	0	0	0	0	0	0
ENSG00000175206	1120	2	1	10	10	2	1	0	2	3
ENSG00000275915	108	0	0	0	0	0	0	0	0	0
ENSG00000120937	708	1	0	4	2	0	3	0	1	4
ENSG00000224904	2637	0	0	1	0	0	1	0	0	0
ENSG00000285646	3071	48	10	16	3	4	10	1	1	3
ENSG00000199347	120	0	0	0	0	0	0	0	0	0
ENSG00000201801	120	1	0	0	0	0	0	0	1	0
ENSG00000116685	3281	9964	3038	3512	3699	3077	4128	3104	3400	3803
ENSG00000083444	5320	39389	9785	10962	12288	15729	14525	9450	10921	13199
ENSG00000287384	595	3	0	1	0	1	0	0	1	0
ENSG00000116688	4973	18842	5789	7589	6647	5814	7667	5763	7375	7808
ENSG00000270914	93	0	0	0	0	0	0	0	0	0
ENSG00000116691	2821	1863	644	719	707	547	1313	609	759	816
ENSG00000202461	113	0	0	0	0	0	0	0	0	0
ENSG00000276869	65	0	0	0	0	0	0	0	0	0
ENSG00000243539	275	0	0	0	0	0	0	0	0	0
ENSG00000120949	3812	3	0	0	5	4	4	0	2	1
ENSG00000201135	104	0	0	0	0	0	0	0	0	0
ENSG00000227875	255	0	0	0	0	0	0	0	0	0
ENSG00000285604	1196	0	0	0	0	0	0	0	0	0
ENSG00000283789	96	0	0	0	0	0	0	0	0	0
ENSG00000028137	3778	1	0	2	9	3	2	0	1	1
ENSG00000263676	61	0	0	0	0	0	0	0	0	0
ENSG00000225196	316	0	0	0	0	0	0	0	0	0
ENSG00000252969	124	0	0	0	0	0	0	0	0	0
ENSG00000048707	20768	8810	3655	4083	3537	2859	2875	3201	4475	5494
ENSG00000239149	152	12	6	9	4	2	2	1	12	2
ENSG00000229484	438	14	7	2	13	5	9	2	4	6
ENSG00000162496	3515	11470	3006	3394	3302	2384	7178	376	3665	1804
ENSG00000221340	101	40	16	13	10	6	13	0	17	13
ENSG00000276830	67	0	0	0	1	3	0	0	5	0
ENSG00000272482	345	148	29	36	48	32	95	4	47	16
ENSG00000204518	1575	20	9	15	13	10	34	3	23	8
ENSG00000226166	112	0	0	0	0	0	0	0	0	0
ENSG00000188984	4055	0	1	0	0	0	0	0	0	0
ENSG00000157330	4133	21	7	6	22	68	57	15	100	25
